Benchmark,Param #0,Param #1,Param #2,Param #3,RAM18,RAM36,URAM,RAM32X1S,RAM32X1D,RAM32M,RAM64M,RAM64X1S,RAM64X1D,RAM128X1S,RAM128X1D,RAM256X1S,SRLC32E,SRL16E,DSPs,Regs,Mregs,MUX7,MUX8,LUT1,LUT2,LUT3,LUT4,LUT5,LUT6,SLICEL,SLICEM,Slices
Fringe,,,,,3,2,0,0,1,17,0,0,0,0,0,0,47,19,0,7526,0,395.5,159,144,4235.6666666667,530.4166666667,473.5,539,1631.5,1673.625,1248.5,0
Parallel,n,,,,,,,,,,,,,,,,,,,3*n,,,,,,,4.5*n,,,,,
MetaPipe,n,,,,,,,,,,,,,,,,,,,35 + 0.5*n*n + 1.5*n,,,,,,,5.5*n*n + 22.5*n + 105,,,,,
Sequential,n,,,,,,,,,,,,,,,,,,,2*n + 35,,,,,,,7*n + 40,,,,,
Switch,n,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,
Counter,b,p,,,,,,,,,,,,,,,,,,b*p,,,,,,b + p,,,,,,
CounterChain,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switch,n,b,,,,,,,,,,,,,,,,,,,,,,,,n*b,,,,,,
SwitchMux,b,,,,,,,,,,,,,,,,,,,,,,,,,b,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArgIn,b,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,5,3,0,0,0,32,1,10,15,7,0
ArgOut,b,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,4,1,0,0,0,0,0,10,10,3,0
FixAbs,b,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0 * b,0,0,0,0,1.0 * b,0,0,0
FixAdd,b,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0 * b,0,0,0,0,0,0,0
FixAnd,b,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0*b,0,0,0,0,0,0,0,0
FixDiv,b,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0 * b,0,3.0 * b,0,1.0 * b*b,0,0,0,0
FixEql,b,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0*b,0,0,0,0,0,0,0
FixInv,b,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0*b,0,0,0,0,0,0,0
FixLeq,b,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0*b,0,0,0,0,0,0,0
FixLt,b,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0*b,0,0,0,0,0,0,0
FixMin,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0*b,0,0,0,0,0,0,0
FixMod,b,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0 * b,1.0 * b,1.0 * b*b,0,0,1.0 * b,0,0,0
FixNeg,b,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0 * b,0,0,0,0,0,0,0,0
FixNeq,b,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0*b,0,0,0,0,0,0,0
FixOr,b,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0*b,0,0,0,0,0,0,0
FixSub,b,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0 * b,0,0,0,0,0,0,0
FixXOr,b,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0*b,0,0,0,0,0,0,0
IntMul16,n,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,2,0,0,0,0
IntMul32,n,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,18,0,0,2,0,0,0,0
IntMul8,n,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,11,2,0,7,14,2,1,0
FixMulSmall,b,,,,,,,,,,,,,,,,,,0,2,,,,,1.375*b,0.25*b,,0.875*b,1.75*b,,,
FixMulBig,b,,,,,,,,,,,,,,,,,,0.125*b + -1.0,2,,,,,0,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FloatAbs,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,3,0
FloatAdd,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,15,206,345,245,479,1505,420,198,0
FloatDiv,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,6,194,162,85,249,0,168,77,0
FloatEql,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,7,0,71,0,28,14,0
FloatLeq,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,9,38,75,0,49,25,0
FloatLt,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,31,16,86,0,62,29,0
FloatMin,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,27,62,101,0,95,48,0
FloatNeg,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0
FloatSub,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,16,206,341,245,476,1510,419,196,0
BitAnd,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0
BitEql,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0
BitNot,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
BitOr,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0
BitXOr,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mux,b,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0 * b,0,0,0
FixCeil,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0 * b,0,0,0,0,0,0,0
FixFloor,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0 * b,0,0,0,0,0,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reg,b,d,,,,,,,,,,,,,,,,,,b*d,,,,,,b*d + -1.0*b,,,,,,
RegFile1D,b,d,c,,,,,,,,,,,,,,,,,b*d*c,,,,,,b*d + -1.0*b,,,,,,
RegFile2D,b,d,r,c,,,,,,,,,,,,,,,,b*d*r*c,,,,,,b*d + -1.0*b,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlignedLoad1,,,,,0.9428571429,1,0,0,0,-0.004076742527398025 * p*w + 0.502755427229034 * p + -0.002583626652898016 * w*p + 1.932300397720667,0,0,0,0,0,0,0,0,0,-0.9985366772262462 * p*w + 447.18858903268836,0,0.009084292994492961 * p*w + 20.338230986336367,0.004954009994638577 * p*w + 26.959826408910217,-0.4136436816125951 * p*w + 15.19871427817128 * p + 54.43647291818229,-6.627029034187393 * p*w + 267.08370358568885 * p + 803.6716451748783,-0.12358216882675956 * p*w + 50.38955671099992 * p + 228.7381806682697,-0.5405979822139113 * p*w + 19.865648852570832 * p + 36.74487417103968,-2.3430705798410085 * p*w + 99.31144922711049 * p + 235.92171535717992,-0.1753834267509876 * p*w + 120.48729824493532,-1.234349422289213 * p*w + 58.44777674206618 * p + 208.89538106925676,0.04526786011801054 * p*w + 13.626115422630944 * p + -0.12253386526321274 * w*p + 137.56985398710262,0
AlignedLoad2,,,,,0.9428571429,1,0,0,0,0.004956802646679662 * p*w + 0.6638542095689538 * p + -0.0045251221871495245 * w*p + 3.3420027563351202,0,0,0,0,0,0,0,0,0,-1.2101577904441043 * p*w + 489.8019968150747,0,0.001120953630796268 * p*w + 16.906786235053968,0.012363135111842352 * p*w + 31.242363510531327,0.15886215277769838 * p*w + 22.28797000137222 * p + -0.14848582922479345 * w*p + 142.08537923229116,-7.69592751132465 * p*w + 371.0590211255592 * p + 891.72739787618,0.0785059283634321 * p*w + 344.80429436370196,0.2355648851114892 * p*w + 22.01607602798984 * p + -0.16589783769685218 * w*p + 133.31580369703298,-2.8697255166135243 * p*w + 153.25831971270506 * p + 311.0243679735341,-0.13511673913895086 * p*w + 157.04176380937457,-1.6187034942080452 * p*w + 84.78857366712316 * p + 267.8980947762852,-0.5749628749752261 * p*w + 35.811686277361495 * p + 123.19799977936616,0
AlignedStore1,,,,,0,0.022232809501749638 * p*w + 8.488177548985746,0,0,0,0.0035663126342483815 * p*w + 3.786791230791141 * p + 10.321738522831838,0,0,0,0,0,0,0,0,0,4.687209710157818 * p*w + 1223.4117707967678,0,0.6026379751134752 * p*w + 336.41859342959685,0.5988972330463292 * p*w + 92.30024710926068,-0.12626270348390564 * p*w + 95.11387699846217,-5.018463229533261 * p*w + 358.85232639840757 * p + 1123.7475655444453,0.5634177527035874 * p*w + 672.1121254631132,-1.4085567975403708 * p*w + 34.28758105994282 * p + 0.6843489948826698 * w*p + -63.53280629731944,-0.38966592595502203 * p*w + 923.7047447228041,1.913650320179203 * p*w + 518.5557942860928,1.456122178142787 * p*w + 656.3151598104147,0.5993247961839582 * p*w + 291.5113156627575,0
AlignedStore2,,,,,0,0.020981122408764874 * p*w + 8.79096713170962,0,0,0,0.001340313588563508 * p*w + 8.177622235555015 * p + 5.752926568616386,0,0,0,0,0,0,0,0,0,4.8427401079845485 * p*w + 1240.9131531714122,0,0.5783054258295899 * p*w + 343.4748057066288,0.40582264325687706 * p*w + 89.74445337747301,-0.2444363570978167 * p*w + 101.65792633629471,-5.569740371276102 * p*w + 474.77671031046856 * p + 1284.536783320169,0.9622177228659262 * p*w + 802.2059194451012,-3.6177492965983635 * p*w + 67.83123683694812 * p + 1.0093280929992547 * w*p + -243.13905291318815,-0.431922193978088 * p*w + 950.0012273530832,2.0245428391266644 * p*w + 521.1675607201972,1.426448456096792 * p*w + 691.9129703633638,0.5749499980294785 * p*w + 304.12500850139054,0
UnalignedLoad1,,,,,0.9428571429,1,0,0,0,6.0152380952,0,0,0,0,0,0,0,0,0,-0.023263758651411014 * p*w + 646.061049773416,0,-0.004537938293175119 * p*w + 21.43455595990463,-0.008755122498693455 * p*w + 24.159575348435062,0.005263392186118636 * p*w + 106.23857183964026,2.3168229028049905 * p*w + 1476.2355844345677,0.1316672205590126 * p*w + 274.3376831119831,0.07292435163568287 * p*w + 81.30445485468742,-0.05367083218559766 * p*w + 97.9295651475467 * p + 451.40878711006445,-0.06465825172614505 * p*w + 179.99919698578805,0.24803422442775447 * p*w + 325.8474439224218,0.1632450742652418 * p*w + 188.42036132036105,0
UnalignedLoad2,,,,,0.9428571429,1,0,0,0,6.0152380952,0,0,0,0,0,0,0,0,0,-0.015713838721139795 * p*w + 693.6694262511703,0,-0.010627658629375295 * p*w + 14.90607782271973,0.018649762487066103 * p*w + 28.061042234973193,-0.06730219013576641 * p*w + 117.42893165092205,0.14726884770575838 * p*w + 300.61589118338395 * p + 1676.353796461957,-0.001620408475213839 * p*w + 385.5065845169786,0.7922557082294859 * p*w + -5.7548276455597955 * p + -0.17084104839042014 * w*p + 161.0094863518209,-0.06408783318424015 * p*w + 150.2677526732254 * p + 556.6327061863279,0.007171522094712901 * p*w + 177.24193441462756,0.2007967396189337 * p*w + 383.1550605148466,0.24979006952936392 * p*w + 194.97693770688602,0
UnalignedStore1,,,,,0,0.019450112015588026 * p*w + 8.465665802135106,0,0,0,2.2324314772204575E-4 * p*w + 3.6945683920269774 * p + 10.16487659862515,0,0,0,0,0,0,0,0,0,7.396777881240134 * p*w + 1307.3638691105662,0,0.44732243203517147 * p*w + -35.31955096504928 * p + 1.0409997573364205 * w*p + 79.14391483931944,-0.5295668343627398 * p*w + 8.994308141281351 * p + 0.6849333243036142 * w*p + -121.702694376876,0.0907349121344903 * p*w + 109.93325733637347,1.1558896825544163 * p*w + 334.2733901963463 * p + 1526.6109442015677,3.8049368443547484 * p*w + 874.7153348912024,0,2.495034050170842 * p*w + 1506.9513052069885,-1.5644452314770225 * p*w + 7.200260122280626 * p + 3.181674499951448 * w*p + -264.9029046258405,4.22965956783927 * p*w + 792.349361550056,1.7498972590614357 * p*w + 343.1169792086664,0
UnalignedStore2,,,,,0,0.022343197691750777 * p*w + 9.202397683233258,0,0,0,0.013664960421542758 * p*w + 8.152040797329963 * p + 9.453075327895407,0,0,0,0,0,0,0,0,0,8.661248389655468 * p*w + 1542.535728643828,0,9.48848071312976 * p*w + 759.5466198202801,4.988336647182828 * p*w + 294.4422805672671,0.025230838230910275 * p*w + 122.14751677648194,1.32348122324505 * p*w + 471.29835154833575 * p + 1945.8158780796325,5.2651425620714605 * p*w + 1212.308217282058,-4.490832240524981 * p*w + -23.05921420623253 * p + 1.3485423374829504 * w*p + -445.4802530408571,1.400904770268091 * p*w + 308.1592521592717 * p + 1670.2559462554386,4.987443884103144 * p*w + -79.58026808124147 * p + 3.9398420610535183 * w*p + -179.96904608000688,6.9105629950811265 * p*w + 1076.0578708317364,2.9944839045398415 * p*w + 458.99383811835713,0
